service_name,correct_device_name,correct_friendly_name,bad_device_name,phrase,error_result,retry_prompt
climate.turn_on,climate.trane_comfortlink_ii,Trane ComfortLink II XL1050,climate.trane_comfortlink,Włącz system klimatyzacji Trane w domu,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.trane_comfortlink', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z właściwym urządzeniem: climate.trane_comfortlink_ii.
switch.toggle,switch.łazienka_wentylator,Przełącznik wentylatora łazienkowego,switch.wentylator_łazienka,Włącz wentylator w łazience,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.wentylator_łazienka', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z właściwym przełącznikiem.
lock.unlock,lock.pomieszczenie_gospodarcze,Zamek pomieszczenia gospodarczego,lock.pomieszczenie_gosp,Odblokuj zamek pomieszczenia gospodarczego.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.pomieszczenie_gosp', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję odblokować Zamek pomieszczenia gospodarczego.
climate.turn_off,climate.przewoźnik_kor,Termostat Carrier Cor Wi-Fi,climate.przewoźnik_korX,Wyłącz termostat Carrier Cor Wi‑Fi,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.przewoźnik_korX', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję jeszcze raz z właściwym urządzeniem.
lock.unlock,lock.joga_pokój,Zamek do pokoju jogi,lock.joga-pokój,Odblokuj zamek w pokoju jogi.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.joga-pokój', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z właściwym urządzeniem lock.joga_pokój.
switch.turn_off,switch.pompa_basenu,Przełącznik pompy basenowej,switch.pompa_basen,Wyłącz przełącznik pompy basenowej,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.pompa_basen', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z właściwym przełącznikiem pompy basenowej.
lock.unlock,lock.przód_drzwi_1,Główny zamek wejściowy,lock.przód_drzwi_one,Odblokuj główny zamek wejściowy.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.przód_drzwi_one', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z prawidłowym urządzeniem lock.przód_drzwi_1.
vacuum.stop,vacuum.under_bed_cleaner,Odkurzacz pod łóżkiem,vacuum.under_bed_cleaner_extra,"Zatrzymaj odkurzacz pod łóżkiem, proszę.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.under_bed_cleaner_extra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z odkurzaczem pod łóżkiem.
light.toggle,light.piętro_poddasze_zwave,Światło na poddaszu na piętrze,light.poddasze_piętro_zwave,Włącz światło na poddaszu na piętrze,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.poddasze_piętro_zwave', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z prawidłowym urządzeniem.
media_player.volume_down,media_player.soundbar_living_room,Soundbar do salonu,media_player.soundbars_living_room,Ścisz dźwięk na soundbarze w salonie.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.soundbars_living_room', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z właściwym urządzeniem Soundbar do salonu.
light.turn_on,light.garaż,Światło w garażu,light.garażek,Włącz proszę światło w garażu.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.garażek', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już poprawiam i włączam światło w garażu.
fan.increase_speed,fan.sypialnia_mistrz,Wentylator w głównej sypialni,fan.sypialnia_mistrz_2,Zwiększ prędkość wentylatora w głównej sypialni.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.sypialnia_mistrz_2', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z właściwym wentylatorem.
fan.turn_on,fan.sufit_1,Wentylatory sufitowe,fan.sufit_one,Włącz proszę wentylatory sufitowe,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.sufit_one', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję włączyć właściwy wentylator sufitowy.
media_player.volume_up,media_player.roku_living,Pokój dzienny Roku,media_player.roku_livingz,Zwiększ głośność w pokoju dziennym Roku,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.roku_livingz', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z prawidłowym urządzeniem.
climate.turn_on,climate.trane_comfortlink_ii,Trane ComfortLink II XL1050,climate.trane_comfortlink_ii_extra,Włącz klimatyzację w salonie.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.trane_comfortlink_ii_extra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję włączyć Trane ComfortLink II.
garage_door.open_cover,garage_door.szopa_1,Pierwsze drzwi do szopy,garage_door.szopa_12,Otwórz pokrywę pierwszych drzwi do szopy.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.szopa_12', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z prawidłowym urządzeniem garage_door.szopa_1.
media_player.turn_off,media_player.roku_sypialnia,Odtwarzacz Roku w sypialni,media_player.roku_sypialnia_tv,Wyłącz odtwarzacz Roku w sypialni.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.roku_sypialnia_tv', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję wyłączyć Odtwarzacz Roku w sypialni.
fan.decrease_speed,fan.strych,Wentylator na strychu,fan.rysch,Zmniejsz prędkość wentylatora na strychu.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.rysch', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","OK, spróbuję ponownie z właściwym urządzeniem (fan.strych)."
switch.turn_on,switch.spiżarnia_światła,Przełącznik świateł w spiżarni,switch.spiżarnia_światła_v2,Włącz proszę światła w spiżarni.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.spiżarnia_światła_v2', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z prawidłowym przełącznikiem – switch.spiżarnia_światła.
lock.lock,lock.studio,Zamek studyjna,lock.studi,Zamknij zamek studyjną.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.studi', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z właściwym zamkiem (lock.studio).
lock.unlock,lock.warsztat_szafka,Zamek do szafki warsztatowej,lock.warsztat_szafk,Odblokuj zamek do szafki warsztatowej.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.warsztat_szafk', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z właściwym zamkiem (lock.warsztat_szafka).
blinds.close_cover,blinds.pokój_dziecięcy,Rolety w pokoju dziecięcym,blinds.pokój_dzieci,Zamknij rolety w pokoju dziecięcym.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.pokój_dzieci', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z roletami w pokoju dziecięcym.
lock.unlock,lock.kino_domowe,Zamek kina domowego,lock.kino_domow,Odblokuj zamek kina domowego.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.kino_domow', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z właściwym urządzeniem lock.kino_domowe.
climate.turn_on,climate.sinope_smart,Inteligentny termostat Sinopé,climate.sinop_smart,Włącz ogrzewanie w domu,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.sinop_smart', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję włączyć Inteligentny termostat Sinopé.
light.toggle,light.ganek,Światło na ganku,light.gank,Przełącz światło na ganku,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.gank', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z prawidłowym urządzeniem.
fan.turn_off,fan.ganek,Wentylator na werandzie,fan.gane,Proszę wyłącz wentylator na werandzie.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.gane', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z właściwym urządzeniem (fan.ganek).
garage_door.open_cover,garage_door.magazyn_rowerów,Garaż do przechowywania rowerów,garage_door.magazyn_rower,Proszę otworzyć pokrywę garażu do przechowywania rowerów.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.magazyn_rower', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Przepraszam, spróbuję ponownie z właściwym urządzeniem."
